proverb	topic
Своя матка бья не пробьет, а чужая гладя прогладит.	Семья — Родня
Мать высоко замахивается, да не больно бьет; мачеха низко  замахивается, да больно бьет.	Семья — Родня
Достаток — мать, убожество — мачеха.	Семья — Родня
Родной, да матери не одной.	Семья — Родня
Двои дети водить — одним досадить (т. е. от двух матерей).	Семья — Родня
Жить было в совете, да разные дети.	Семья — Родня
Таланное дитя, мачехино (т. е. в сравнении с пасынками).	Семья — Родня
В лесу медведь, а в дому мачеха.	Семья — Родня
Из дому гонит мачеха, а из лесу медведь.	Семья — Родня
Чешет, что мачеха пасынка. Больно, что мачехино чесанье.	Семья — Родня
Так чешет (гладит) мать, а этак мачеха (по и против шерсти).	Семья — Родня
Горе мачехино, что пасынок сметаны не ест, а порой и  сыворотке рад.	Семья — Родня
Удобрилась мачеха до пасынка: велела в заговенье щи  выхлебать.	Семья — Родня
Спохватилась мачеха пасынка, когда уже лед прошел (т. е.  когда все унесло, что под лед попало).	Семья — Родня
Мамка не матка. Мать — кормилица, а кормилица не мать.	Семья — Родня
Горько живется от мачехи пасынку, а не сладко и мачехе от  пасынка.	Семья — Родня
Дочернины дети милее своих.	Семья — Родня
Хорошо тому жить, у кого бабушка ворожит.	Семья — Родня
Где бабка ни бери, а внука корми!	Семья — Родня
Коли внучек маю, так и сказку знаю (запад.).	Семья — Родня
Кого дедушка любит, тому и косточки в руки.	Семья — Родня
У кого есть дед, у того и обед.	Семья — Родня
Была б моя бабуся, никого не боюся; бабушка — щиток, кулак —  молоток (т. е. заступается).	Семья — Родня
Баба, бабушка, золотая сударушка! Бога молишь, хлебцем  кормишь, дом бережешь, добро стережешь.	Семья — Родня
Бабушка неможет, дедушка семь лет костей не гложет.	Семья — Родня
Дедушка свечка, лучиночка с печки (высох).	Семья — Родня
Бабушка у бражки, дед на печи. Бабушка на печь, а дед по  дрова.	Семья — Родня
Рассыпался б дедушка, кабы его не подпоясывала бабушка.	Семья — Родня
Подрались дедушка с бабушкой, и семеро внуков не разберут по  что.	Семья — Родня
Молчи: дедушка с бабушкой на зиму печь межуют.	Семья — Родня
Сиротинушка наш дедушка: ни отца, ни матери.	Семья — Родня
Бабушке — один только дедушка не внук.	Семья — Родня
Съела бабушка зубы, а остались язык да губы.	Семья — Родня
Не стучи: сидит дед на печи.	Семья — Родня
Корми деда на печи: и сам будешь там.	Семья — Родня
Про то дедушка не ведает, где внучек обедает.	Семья — Родня
Дедушка не знал, что внучек корову украл; дедушка спал, а  внук и кожу снял.	Семья — Родня
Дедушка сед, а смерти на него нет.	Семья — Родня
Любовь братская — союз христианский.	Семья — Родня
Братская любовь пуще (лучше) каменных стен.	Семья — Родня
Один брат, один свет милый. Живут, как брат с сестрой.	Семья — Родня
Муж жену любит здоровую, а брат сестру богатую.	Семья — Родня
Фадя-то дядя, а Кондрат мне брат.	Семья — Родня
Брат брату — головой в уплату. Брат брату сосед.	Семья — Родня
Хотя мне брат, только я ему не рад.	Семья — Родня
Хорош брат — сестру продал, хороша и сестра — от брата ушла  (от свадебн. обычая).	Семья — Родня
Сестра при брате не вотчинница (не наследница).	Семья — Родня
Брат брату не плательщик; брат за брата не плательщик.	Семья — Родня
Брат брату складник, отец сыну сосед.	Семья — Родня
Отец сына умнее — радость, а брат брата — зависть.	Семья — Родня
Сын отца умнее — радость, а брат брата умнее — зависть.	Семья — Родня
Сын отца глупее — жалость; сын отца умнее — радость; а брат  брата умнее — зависть.	Семья — Родня
Брат — брат, сват — сват, а денежки не родня.	Семья — Родня
Не смейся, братец, чужим сестрицам: своя в девицах.	Семья — Родня
Брат он мой, а ум (т. е. воля) у него свой.	Семья — Родня
Не верь брату родному, верь глазу своему кривому!	Семья — Родня
Брат так брат, а не брат — так отдай мой крест (т. е.  крестовый брат, побратим; они меняются тельными крестами. Девки называют себя  кумами, крестовыми сестрами).	Семья — Родня
Брат на брата — пуще супостата (т. е. если враждуют).	Семья — Родня
Брат с братом на медведя ходят.	Семья — Родня
Два брата на медведя, два свата — кисель.	Семья — Родня
Чуж-чуженин, а стал семьянин (зять).	Семья — Родня
Одно дитя роженое (дочь), другое суженое (зять).	Семья — Родня
У тещи-света для зятя приспето.	Семья — Родня
Зять да сват у тещи — первые гости.	Семья — Родня
Зять на двор — пирог на стол.	Семья — Родня
Пожалуйста, зятек, съешь пирожок!	Семья — Родня
Для зятя и дверь пола (настежь).	Семья — Родня
Теща зятю голову маслит (от обычая свадеб., где молодые едут  к теще на яичницу).	Семья — Родня
У тещи для зятя и ступа доит (т. е. доится).	Семья — Родня
Думала теща, пятерым не съесть; а зять-то сел, да за присест  и съел.	Семья — Родня
На зятьев не напасешься, что на яму.	Семья — Родня
Наливай на гущу, зять будет (говор. тесть).	Семья — Родня
Был у тещи, да рад утекши.	Семья — Родня
Зятек едет — на похмелье зовет.	Семья — Родня
Не для зятя-собаки, для милого дитяти (гов. тесть).	Семья — Родня
Ныне зять подмаз съел, а завтра и всю сковороду.	Семья — Родня
Не жалей тещина добра — колупай масло шилом!	Семья — Родня
Теща пышна, а против зятя не вышла. У тещи карманы тощи.	Семья — Родня
Ни в сыворотке сметаны, ни в зяте племени.	Семья — Родня
С сыном бранись, на печь ложись; а с зятем бранись, за скобу  берись (т. е. уходи; о тесте).	Семья — Родня
У наших зятей много затей.	Семья — Родня
Тесть, как ни вертись, а за зятька поплатись!	Семья — Родня
На хлеб едока, на печь лежня, а на себя нарядчика (о зяте).	Семья — Родня
Бери зятя в дом, неси бога вон! Зять в дом — и иконы вон.	Семья — Родня
Тесть за зятя давал рубль, а после давал и полтора, чтоб  свели со двора.	Семья — Родня
Прими зятя в дом, а сам убирайся вон!	Семья — Родня
Было бы кому до смерти поить, кормить да глаза прикрыть.	Семья — Родня
Нет черта в доме — прими зятя!	Семья — Родня
Не зять бы был, не чертом бы (не собакой) и слыл.	Семья — Родня
Звал на честь, а посадил на печь (тестя).	Семья — Родня
Как у тещи зять в гостях — за семь верст заезжают; как у  свояка свояк в гостях — за семь верст объезжают (брань).	Семья — Родня
Не зять бы был, кабы на сырной тещу не навестил.	Семья — Родня
Бедному зятю и тесть не рад. У тестя в руках не приданое.	Семья — Родня
Что мне тесть, коли нечего есть. Что мне тесть, коли собинка  есть.	Семья — Родня
В копнах не сено (т. е. погниет), в долгу не деньги, а у  тестя не приданое.	Семья — Родня
Зять по дочке помилеет, а сын по невестке опостылеет.	Семья — Родня
Шурин по зяте не наследник.	Семья — Родня
Зять любит взять, тесть любит честь, а шурин глаза щурит.	Семья — Родня
Зять да шурин — черт их судит.	Семья — Родня
Сынок — свой горбок; зятек — покупной щеголек; теща  хлопочет, тесть кропочет.	Семья — Родня
Кабы не выронил пера, не знал бы и двора (т. е. не будь  дочери, не бывал бы у зятя).	Семья — Родня
Две матери, две дочери да бабушка со внучкой, а их всего  трое (мать, дочь и внучка).	Семья — Родня
Шли муж с женою, брат с сестрой да кум с кумой; нашли  полтора хлеба, разделили по полухлебу (их всего трое).	Семья — Родня
Шли теща с зятем, муж с женой, бабка со внучкой, мать с  дочкой да дочь с отцом (всего четверо).	Семья — Родня
У меня молодца четыре отца, пятый батюшка (бог, царь,  духовник, крестный, родитель).	Семья — Родня
Шуринов племянник как зятю родня? (Сын.)	Семья — Родня
Сын отца моего, а мне не брат (я сам).	Семья — Родня
Его мать моей матери одним-одна дочь (он ей сын).	Семья — Родня
Он тебе отец и дед, ты мне сын и брат, я тебе мать и сестра  (Лотова дочь, сыну).	Семья — Родня
Сын — дед самому себе (сорокалетняя женщина вышла за  двадцатилетнего мужчину, отец которого женился на дочери первой: рожденный от  первой четы сын — дед самому себе),	Семья — Родня
Здравствуйте, братцы, жены моей дети; скажите вашему отцу и  моему отцу, что жены его муж приехал (отец женился на невестке, а без вести  пропавший сын воротился).	Семья — Родня
Здоровье всего дороже. Здоровье дороже богатства.	Здоровье — Хворь
Здоровью цены нет. Здоровья не купишь.	Здоровье — Хворь
Дал бы бог здоровья, а дней впереди много (а счастье  найдем).	Здоровье — Хворь
Кровь с молоком. Чуть не лопнет.	Здоровье — Хворь
Не спрашивай здоровья, а глянь в лицо. Суди не по годам, а  по ребрам (по зубам).	Здоровье — Хворь
Здоров, как бык, как боров. Силен, как лесник.	Здоровье — Хворь
Здоров, как бык, и не знаю, как быть.	Здоровье — Хворь
Сучок в кулаке сожмет, так вода пойдет.	Здоровье — Хворь
Сожму в кулаке сучок, так пойдет из него сок.	Здоровье — Хворь
Жив — здоров, ни горелый, ни больной. На нем хоть воду вози.	Здоровье — Хворь
Да его о надолбу (о мостовую) головой не убьешь.	Здоровье — Хворь
Отъелся, как свинья на барде. Здоровьем болен.	Здоровье — Хворь
Не всякая болезнь к смерти. Не могу, а ем по пирогу.	Здоровье — Хворь
Здоров на еду, да хил на работу.	Здоровье — Хворь
Ногти распухли. На зубах мозоли натер. Волоса распухли.	Здоровье — Хворь
Волоса моль съела (т. е. притворная болезнь).	Здоровье — Хворь
Заболел огурной (т. е. ленивой) лихорадкой.	Здоровье — Хворь
Тит, поди молотить! — Брюхо болит. — Тит, поди кисель есть!  — А где моя большая ложка?	Здоровье — Хворь
Встал, как встрепанный. Встал да пошел, как ни в чем не  бывал.	Здоровье — Хворь
Как бабушка отходила. Как рукой сняло.	Здоровье — Хворь
Плохо можется, так и (как, коли) нездоровится.	Здоровье — Хворь
Взяло кота поперек живота. Скоробило вдоль и поперек.	Здоровье — Хворь
Что ни болит, все к сердцу валит. Всякая болезнь к сердцу.	Здоровье — Хворь
Где больно, там рука: где мило, там глаза.	Здоровье — Хворь
Где мило, там глядь да глядь; где больно, там хвать да  хвать.	Здоровье — Хворь
Где больно — хвать, похвать; где мило — глядь, поглядь.	Здоровье — Хворь
Нищий болезней ищет, а к богатому они сами идут.	Здоровье — Хворь
Деньги — медь, одежа — тлен, а здоровье — всего дороже.	Здоровье — Хворь
Свят по душе, а тащись на костылях. Святая душа на костылях.	Здоровье — Хворь
Болезнь человека не красит. Болезнь и скотину не красит.	Здоровье — Хворь
Хворь и теленка (и поросенка) не красит.	Здоровье — Хворь
Подлиня руками берут (диких уток, гусей, когда линяют).	Здоровье — Хворь
Подкошенная трава и в поле сохнет.	Здоровье — Хворь
Вешнюю корову от ветру покосит (т. е. голодную).	Здоровье — Хворь
Весной корову за хвост подымай!	Здоровье — Хворь
Сытый конь воду возит, тощего на подпругах поить водят.	Здоровье — Хворь
Его (Ее) надо в охлопочках держать.	Здоровье — Хворь
Горит, как свечка. Не горит, а плывет (а гаснет).	Здоровье — Хворь
Этот человек не жилец на свете.	Здоровье — Хворь
Одной ногой в могиле стоит. Краше в гроб кладут.	Здоровье — Хворь
От него ладаном пахнет. Он на ладан дышит.	Здоровье — Хворь
Уж у него глаза под лоб закатились.	Здоровье — Хворь
Молился б богу, да просил себе деревянного тулупа.	Здоровье — Хворь
Высох, как лист, как спичка. Кости да кожа, одни ребра.	Здоровье — Хворь
Закатить ясны очи под лоб (испугаться, обмереть, умереть).	Здоровье — Хворь
Завела ясны глазки, опустила белы ручки.	Здоровье — Хворь
Барского слугу стало гнуть в дугу (т. е. неможется).	Здоровье — Хворь
В крюк свело, согнуло, скорчило. Эх, друг, согнуло тебя в  крюк!	Здоровье — Хворь
В три погибели согнулся (согнуло).	Здоровье — Хворь
То же тело, да клубком свертело.	Здоровье — Хворь
Уходила, умучила, согнула да скрючила (болезнь, лихорадка).	Здоровье — Хворь
Эк его перекосило (покоробило, подвело).	Здоровье — Хворь
Посинел, как на льду посидел.	Здоровье — Хворь
Его муха крылом перешибет. Еле-еле душа в теле.	Здоровье — Хворь
Его щелчком убьешь. Его барковкой перешибешь.	Здоровье — Хворь
Его и всего-то на кошачий обед.	Здоровье — Хворь
Ободрать его, так и башмаков не выйдет (и голенищей не  выкроишь).	Здоровье — Хворь
Его можно плевком убить (перешибить). Его чохом убьешь.	Здоровье — Хворь
На что и родиться, коли никуда не годиться!	Здоровье — Хворь
В чем душа держится (т. е. слаб, худ, хил).	Здоровье — Хворь
Лежит — неможет, а что болит — не скажет.	Здоровье — Хворь
Лежит — неможет, и кости (и корки) не гложет.	Здоровье — Хворь
Больной, что ребенок. Больной — и сам не свой.	Здоровье — Хворь
Больному и золотая кровать не поможет.	Здоровье — Хворь
Не рад больной и золотой кровати.	Здоровье — Хворь
Больному и киселя в рот не вотрешь.	Здоровье — Хворь
Больному и мед не вкусен, а здоровый и камень ест.	Здоровье — Хворь
Больному все горько. Больному и мед горько.	Здоровье — Хворь
Больному закон не лежит. Больному посты разрешаются.	Здоровье — Хворь
Больному да дорожному закон не писан (о посте).	Здоровье — Хворь
Боль без языка, а сказывается. Боль приживчива, приурочлива.	Здоровье — Хворь
Плохо можется, что-то ежится.	Здоровье — Хворь
Ой, живот болит, не могу на свете жить.	Здоровье — Хворь
У кого болят кости, тот не думает в гости.	Здоровье — Хворь
Иноходец в пути не товарищ, а больной в избе не сосед.	Здоровье — Хворь
Лихорадка — не матка: треплет, не жалеет.	Здоровье — Хворь
Лихорадка пуще мачехи оттреплет.	Здоровье — Хворь
Икота к вёдру, а ломота к ненастью.	Здоровье — Хворь
В холеру и лягушка не квакнет (замечание).	Здоровье — Хворь
В холеру ни мухи, ни ласточки (замечание).	Здоровье — Хворь
Увечье — не бесчестье. Не бойся, калека, добра человека!	Здоровье — Хворь
Кашляй век: греха в том нет.	Здоровье — Хворь
Кашляй помалу, чтоб на год стало (чтоб на век стало).	Здоровье — Хворь
Скрипучее дерево скрипит, да стоит, а здоровое летит да  лежит.	Здоровье — Хворь
Дуплистое дерево скрипит, да стоит, а крепкое валится.	Здоровье — Хворь
Скрипит дерево, да стоит. Скрипучее дерево живуче.	Здоровье — Хворь
Скрипуче, да живуче; крепко, да хряпко (да хрустко).	Здоровье — Хворь
Без болезни и здоровью не рад.	Здоровье — Хворь
Тот здоровья не знает, кто болен не бывает.	Здоровье — Хворь
Бог дал живот, бог даст и здоровье.	Здоровье — Хворь
На живом все заживет. Живая кость мясом обрастает.	Здоровье — Хворь
Были б кости, а мясо будет. Кость тело наживает.	Здоровье — Хворь
Засохнет, как на собаке. До веку далеко: все заживет.	Здоровье — Хворь
Болит голова — остричь догола, посыпать ежовым пухом да  ударить обухом.	Здоровье — Хворь
Болят зубы — так разбить губы, наточить крови да помазать  брови.	Здоровье — Хворь
Заболит нос — высунуть на мороз, сам отвалится и здоров  будет.	Здоровье — Хворь
Наешься луку, ступай в баню, натрись хреном да запей квасом.	Здоровье — Хворь
Дай, господи, килу — и календарь покину.	Здоровье — Хворь
Поддайся одной боли да сляг — и другую наживешь.	Здоровье — Хворь
Дай боли волю, полежав, да умрешь. Дай боли волю, уморит.	Здоровье — Хворь
Не поддавайся, не ложись; а сляжешь — не встанешь.	Здоровье — Хворь
Сляжешь, хуже разломает; а хоть ломайся, да обмогайся.	Здоровье — Хворь
Кто не боится холеры, того она боится.	Здоровье — Хворь
Самого себя лечить, только портить.	Здоровье — Хворь
Играй, не отыгрывайся; лечись, не залечивайся!	Здоровье — Хворь
Противное зелье лучше болезни. На всякую болесть зелье  вырастает.	Здоровье — Хворь
На всякую шаль выросло по лозе, на всякую болезнь по зелью.	Здоровье — Хворь
Кроме смерти, от всего вылечишься.	Здоровье — Хворь
И собака знает, что травой лечатся.	Здоровье — Хворь
Противным (Горьким) лечат, а сладким портят.	Здоровье — Хворь
Лук семь недугов лечит. Лук от семи недуг.	Здоровье — Хворь
Хрен да редька, лук да капуста — лихого не попустят.	Здоровье — Хворь
Чем ушибся, тем и лечись! Где упал, там и плюнь (и  поскреби).	Здоровье — Хворь
Баня — мать вторая. Кости распаришь, все тело направишь.	Здоровье — Хворь
Больному в еде не верь! Не больной привередлив, боль.	Здоровье — Хворь
Ешь вполсыта, пей вполпьяна (не пей до полпьяна), проживешь  век до полна.	Здоровье — Хворь
Где пиры да чаи, там и немочи. Не ешь масляно: ослепнешь.	Здоровье — Хворь
После обеда полежи, после ужина походи!	Здоровье — Хворь
Держи голову в холоде, живот в голоде, а ноги в тепле!	Здоровье — Хворь
Руду пустить, в гроб гвоздь вколотить.	Здоровье — Хворь
В бане пристало (болячка, чесотка и пр., говорится шутя о  человеке, который заразился).	Здоровье — Хворь
Здоровому все здорово.	Здоровье — Хворь
Добрый жернов все смелет, плохой сам смелется.	Здоровье — Хворь
Здоровый урока не боится. Здорового и призор не берет.	Здоровье — Хворь
Здоровому и нездоровое здорово, а нездоровому и здоровое  нездорово.	Здоровье — Хворь
Брюхо больного умнее лекарской головы.	Здоровье — Хворь
Сама болезнь скажет, что хочет. Что в рот полезло, то и  полезно.	Здоровье — Хворь
Что русскому здорово, то немцу смерть.	Здоровье — Хворь
Женские немочи догадки лечат.	Здоровье — Хворь
Псовая болезнь до поля, а женская до постели.	Здоровье — Хворь
Больной лечится, здоровый бесится (дурит с жиру).	Здоровье — Хворь
Горшок на живот — все заживет.	Здоровье — Хворь
Горшок брюха не испортит. Горшок лиха не попустит.	Здоровье — Хворь
Голова болит, заду легче. Чаще зад посекать — голове легче.	Здоровье — Хворь
Чем нездоров? — А вот, батюшка, чем скажете (простодушный  ответ больного врачу).	Здоровье — Хворь
Весь нездоров. Всем телом (корпусом) нездоров. Кровь ходит;  подступило, подхватило, подвалило под сердце; сердцем, нутром нездоров. Сам  собой нездоров.	Здоровье — Хворь
В животе словно на колесах ездит.	Здоровье — Хворь
Трубочиста пустить (дать слабительное).	Здоровье — Хворь
Франц, хераус (т. е. вырвать, сблевать. Наши солдаты в  Отечественную войну пили здоровье императора австрийского; а когда австрийцы не  хотели пить здоровье русского государя, то наши, вложив палец в глотки,  скомандовали: «Франц, хераус!»).	Здоровье — Хворь
Из глаз искры (звезды) посыпались (т. е. от удара).	Здоровье — Хворь
Кондрашка хватил, царапнул (кровавый удар).	Здоровье — Хворь
В глазах позеленело; в глазах мальчики заплясали.	Здоровье — Хворь
Легко ранили — и головы не нашли.	Здоровье — Хворь
Здоровье — всему голова, всего дороже.	Здоровье — Хворь
Здоровье лучше (краше, дороже) богатства (богатырства).	Здоровье — Хворь
Здоровье дороже денег. Здоров буду — и денег добуду.	Здоровье — Хворь
Богатство да калечество — то же убожество.	Здоровье — Хворь
Здоровье всего дороже, да и деньги — тоже.	Здоровье — Хворь
Береги платье снову, а здоровье смолоду.	Здоровье — Хворь
Человек — не скотина: испортить недолго.	Здоровье — Хворь
Болезнь входит пудами, а выходит золотниками.	Здоровье — Хворь
Болезнь скачет в дом на переменных (на почтовых), а  выбирается на долгих.	Здоровье — Хворь
Болезнь не по лесу ходит, а по людям.	Здоровье — Хворь
Не столько смертей на свете, сколько болестей.	Здоровье — Хворь
Смерть одна, да болезней тьма. Боль отбудешь — и так  помрешь.	Здоровье — Хворь
Не дал бог здоровья — не даст и лекарь.	Здоровье — Хворь
На леченой кобыле недолго наездишь.	Здоровье — Хворь
На леченом коне неделю ездить.	Здоровье — Хворь
Не лечиться худо, а лечиться еще хуже.	Здоровье — Хворь
Аптека — не на два века. Не лечит аптека — калечит.	Здоровье — Хворь
Аптека и лечит, так калечит.	Здоровье — Хворь
Лечит да в могилу мечет. Кого схоронили, того и вылечили.	Здоровье — Хворь
Полечат, авось залечат (боль либо больного).	Здоровье — Хворь
Полечат, авось даст бог и помрет.	Здоровье — Хворь
Прививная оспа — Антиева печать (раскол.).	Здоровье — Хворь
Та душа не жива, что по лекарям пошла.	Здоровье — Хворь
Кто лечит, тот и увечит. Лекарь свой карман лечит.	Здоровье — Хворь
Где много лекарей, там много и больных (и недугов).	Здоровье — Хворь
И хорошая аптека убавит века. Аптека улечит на полвека.	Здоровье — Хворь
Аптекам предаться (отдаться) — деньгами не жаться.	Здоровье — Хворь
Аптекари лечат, а хворые кричат.	Здоровье — Хворь
Чистый счет аптекарский — темные ночи осенние.	Здоровье — Хворь
Больной от могилы бежит, а здоровый в могилу спешит.	Здоровье — Хворь
Пить — помрешь, не пить — помрешь, уж лучше ж умереть, да  пить.	Здоровье — Хворь
Неможется — к смерти, а можется — к могиле.	Здоровье — Хворь
От старости могила лечит.	Здоровье — Хворь
Упрямого вылечит дубина, а горбатого могила.	Здоровье — Хворь
Разорит, как больше не заболит (т. е. разорит похоронами).	Здоровье — Хворь
Не тот болен, кто лежит, а тот, кто над болью сидит.	Здоровье — Хворь
Тяжело болеть, тяжеле того над болью сидеть.	Здоровье — Хворь
Не играй шапкой: голова болеть будет.	Здоровье — Хворь
Мышка, мышка, на тебе зуб костяной, а ты мне дай железный  (говорится, когда у детей зубы падают; или: На тебе репяной, а мне дай  костяной).	Здоровье — Хворь
Марья Иродовна, приходи ко мне вчера (заговор от лихорадки).	Здоровье — Хворь
Не твое — не хватайся, а возьмешь — так и майся (говорят,  вынося в лес одежу лихорадочного, для отвода болезни).	Здоровье — Хворь
Проповедовал Иоанн истину в сухом древе и в воде; был я в  поле, видел мертвых: у мертвых зубы не болят; так и у раба бы N. не болели  (заговор от зубной боли).	Здоровье — Хворь
Мария, Марфа, Пелагея — сестры Лазаря, подите к брату  своему, Лазарю, спросите у него: не болят ли у него зубы, не ломят ли кости? —  Нет, сестры, не болят, не ломят; а болят зубы у кошки, у зайца, у крота, у  быка, у овцы и барана; а чтоб у раба N. не болели отныне и до веку (то же).	Здоровье — Хворь
Житина, житина, возьми свою жичину (наговор от жичины,  ячменя глазного, причем слегка колют его ячменным зерном, которое отдают  петуху).	Здоровье — Хворь
Св. Пятница Прасковия, помоги рабам божиим N. без скорби  жатву покончить: будь им заступница от колдуна и колдуницы, еретика и еретицы,  девки самокрутки и бабы простоволоски, от всякой злой напасти (говорит старуха,  выбранная по легкости руки своей для зажину, чем и отводит все недуги).	Здоровье — Хворь
От царя, царя, от Реза шли три брата: ножами резались,  топорами рубились, кровь не шла, ничего не деялось (заговор от поруба).	Здоровье — Хворь
От серого глаза, от карего глаза, от синего глаза, от  черного глаза (говор., умывая со сглазу).	Здоровье — Хворь
Черному, черемному (рыжему), завидливому, урочливому,  прикошливому — соли в глаза (говорят, отпуская ребенка из дому и насыпая ему от  порчи соли на темя. Чердынск.).	Здоровье — Хворь
Заря, заряница, красна девица, возьми свою криксу, отдай нам  сон (говорят, купая младенца под насестью, чтобы он не плакал).	Здоровье — Хворь
Дома нет, приходи вчера (заговор от лихорадки, падежа и  проч.).	Здоровье — Хворь
Баушка Христоправушка, Христа правила, нам окатыши оставила  (наговор от призора).	Здоровье — Хворь
Что грызешь? — Грызь грызу. — Грызи, да гораздо (от грызи,  т. е. ломоты).	Здоровье — Хворь
Подушку под собой перевернуть — собака выть перестанет.	Здоровье — Хворь
Кто утром в великий четверг скупается прежде ворона, здоров  будет.	Здоровье — Хворь
Вечером (с вечера) голову чесать — болеть станет.	Здоровье — Хворь
Покуда свиньи не улягутся, угар в голове не пройдет.	Здоровье — Хворь
От глазных болей — двенадцать раз умываться росою.	Здоровье — Хворь
От курячей слепоты — смотреть в дырочку доски, где выпал  сучок (чердынск.).	Здоровье — Хворь
Как чиста вода эта, так чтобы глаза мои были чисты (говорят,  набрав ключевой воды в пузырек и бросив в ключ копейку).	Здоровье — Хворь
Как здорова земля, так чтобы голова моя была здорова (достав  из него горсть песку, который прикладывать к голове, промывая глаза этой  водой).	Здоровье — Хворь
От зубной боли: отрез рябинового прута, надколотый  начетверо, положить на зуб, и несколько лет затем не есть рябины.	Здоровье — Хворь
Не плюй в окно — зубы болеть станут.	Здоровье — Хворь
На чих кошки здравствуй, зубы болеть не станут.	Здоровье — Хворь
На чох лошади говори: будь здорова — и обругай.	Здоровье — Хворь
Мышьи оглодки есть — зубам здорово.	Здоровье — Хворь
Добыть языка на колокольне (когда отымется язык, то обливают  водой колокольный язык и поят больного).	Здоровье — Хворь
От оспы: три горошины перебирать счетом трижды по девяти  раз, считая — ни раз, ни два, ни три…	Здоровье — Хворь
Оспа с клювом ходит, оттого и пятнает человека щедринками.	Здоровье — Хворь
От отека: овсяный кисель с воском.	Здоровье — Хворь
От живота — умыться (напиться) с громовой стрелы (стрела  эта: 1) ископаемое, чертов палец, и 2) скипевшийся песок, от удара в него  молнии).	Здоровье — Хворь
На помело не ступай: судороги потянут.	Здоровье — Хворь
Скатертью руки утирать — будут заусеницы.	Здоровье — Хворь
Если ходить по тому месту, гда валялась лошадь, будут лишаи  на теле.	Здоровье — Хворь
Огонь, огонь, возьми свой огник (приговаривают, присекая его  огнивом).	Здоровье — Хворь
Заря орина (зарина), заря скорина, возьми с раба божия  младенца N. зыки и рыки дневные и нощные. (С этими словами нагая бабка обносит  нагого новорожденного вокруг бани).	Здоровье — Хворь
От рожона, от ношена отступися, откачнися (заклятие или  пожелание — о болезни, беде и пр.).	Здоровье — Хворь
От лихорадки: рака вином настоять и пить.	Здоровье — Хворь
То же: сухую лягушку (или: нетопырь) носить в ладанке.	Здоровье — Хворь
Тельной крест из могилы носят на шее (от лихорадки).	Здоровье — Хворь
От лихорадки: положить под изголовье больного лошадиную  голову (т. е. череп).	Здоровье — Хворь
Свечу от утрени великой пятницы зажигают, когда ребенка  держит родимец.	Здоровье — Хворь
Зажать сучок в избе — кровь станет.	Здоровье — Хворь
Глас народа — глас божий.	Народ — Мир
Что мир порядил, то бог рассудил.	Народ — Мир
Как мир захочет, рассудит, порядит, поставит, поволит,  приговорит, положит; мирская воля.	Народ — Мир
Что миром положено, тому быть так.	Народ — Мир
Семеро одного не ждут. Никто от миру не прочь.	Народ — Мир
Мир — велик человек; мир — велико дело.	Народ — Мир
